epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.2607,0.8795,1.65926,1.07524,0.7522,0.81558,0.78736,0.69455,0.53799,0.53834,0.91877,0.0701596,0.0033156,0.0033156
2,79.5702,0.60514,0.65526,0.93906,0.79055,0.83662,0.80322,0.68975,0.6242,0.54438,0.91603,0.0399402,0.00642952,0.00642952
3,117.456,0.63731,0.62734,0.94511,0.87637,0.85082,0.79406,0.6731,0.69586,0.55243,0.9232,0.00950074,0.00932344,0.00932344
4,155.182,0.63362,0.60694,0.9507,0.7491,0.85694,0.77886,0.67899,0.65413,0.53345,0.90963,0.00901,0.00901,0.00901
5,193.805,0.57838,0.53396,0.93903,0.7844,0.86625,0.82379,0.73192,0.50624,0.44868,0.89053,0.00868,0.00868,0.00868
6,233.768,0.5447,0.50716,0.92631,0.81646,0.86521,0.81744,0.72269,0.51923,0.45595,0.89119,0.00835,0.00835,0.00835
7,271.636,0.5153,0.47993,0.91878,0.83199,0.84149,0.82868,0.73946,0.48256,0.44882,0.87139,0.00802,0.00802,0.00802
8,311.009,0.49445,0.46144,0.90888,0.79759,0.88071,0.80085,0.73116,0.43267,0.41464,0.8783,0.00769,0.00769,0.00769
9,349.451,0.47184,0.44824,0.901,0.86608,0.87263,0.83704,0.75516,0.42645,0.4044,0.87104,0.00736,0.00736,0.00736
10,389.633,0.45244,0.43212,0.89795,0.78491,0.86884,0.79483,0.73592,0.43949,0.418,0.86516,0.00703,0.00703,0.00703
11,428.659,0.4352,0.42207,0.89372,0.81697,0.87105,0.81716,0.74277,0.43078,0.37745,0.87123,0.0067,0.0067,0.0067
12,465.872,0.43059,0.40666,0.88612,0.82243,0.87987,0.81807,0.75075,0.42083,0.38851,0.85312,0.00637,0.00637,0.00637
13,504.774,0.40982,0.40103,0.88706,0.85989,0.87085,0.86363,0.78009,0.35206,0.35764,0.84823,0.00604,0.00604,0.00604
14,545.126,0.40393,0.395,0.88201,0.98808,0.87068,0.88961,0.78641,0.37393,0.3742,0.86148,0.00571,0.00571,0.00571
15,585.107,0.3854,0.37993,0.8789,0.91033,0.85281,0.87106,0.77959,0.36763,0.36598,0.84938,0.00538,0.00538,0.00538
16,623.604,0.38405,0.3824,0.87637,0.84125,0.88509,0.83137,0.76359,0.33553,0.3493,0.84492,0.00505,0.00505,0.00505
17,661.339,0.36983,0.36986,0.87201,0.87136,0.88099,0.86418,0.7721,0.38248,0.35179,0.85212,0.00472,0.00472,0.00472
18,700.228,0.36327,0.36306,0.87188,0.82036,0.88001,0.82053,0.75716,0.39695,0.36315,0.84831,0.00439,0.00439,0.00439
19,738.854,0.35339,0.35698,0.87196,0.89841,0.86906,0.88017,0.79295,0.32783,0.33381,0.83988,0.00406,0.00406,0.00406
20,778.729,0.35363,0.35226,0.86814,0.8706,0.88245,0.8616,0.78067,0.35382,0.33649,0.84269,0.00373,0.00373,0.00373
21,817.024,0.3445,0.3307,0.85773,0.81386,0.89473,0.82453,0.76926,0.33751,0.34154,0.83932,0.0034,0.0034,0.0034
22,854.281,0.33537,0.32383,0.85114,0.92096,0.86122,0.87334,0.78718,0.33678,0.3351,0.83649,0.00307,0.00307,0.00307
23,892.34,0.32252,0.31354,0.84998,0.88601,0.8525,0.86153,0.78403,0.3203,0.33088,0.8366,0.00274,0.00274,0.00274
24,928.404,0.31644,0.30862,0.84788,0.8625,0.85397,0.84898,0.78083,0.31522,0.32023,0.83113,0.00241,0.00241,0.00241
25,965.983,0.30798,0.29939,0.8399,0.84637,0.86911,0.8392,0.77414,0.31174,0.31831,0.8306,0.00208,0.00208,0.00208
26,1003.87,0.3029,0.29352,0.84072,0.85139,0.86885,0.83559,0.7774,0.29616,0.31478,0.82607,0.00175,0.00175,0.00175
27,1040.41,0.29083,0.28809,0.83553,0.8555,0.87688,0.85267,0.78119,0.29222,0.31085,0.82534,0.00142,0.00142,0.00142
28,1077.98,0.28295,0.28288,0.83378,0.87103,0.87348,0.85903,0.77714,0.30984,0.30277,0.82609,0.00109,0.00109,0.00109
29,1119.31,0.27769,0.27277,0.83162,0.8628,0.87123,0.84548,0.77867,0.28052,0.29107,0.82183,0.00076,0.00076,0.00076
30,1156.29,0.27112,0.26788,0.82971,0.88297,0.88157,0.8612,0.79361,0.26782,0.28201,0.82143,0.00043,0.00043,0.00043
